rel_path,fs,lead_index,lead_name,r_time_s,target_len,outdir,mode
141482.dat,400.0,0,I,0.89,300,C:/Physionet/PhysioNetChallange/one_beat_out/141482,wfdb
141628.dat,400.0,0,I,0.5025,300,C:/Physionet/PhysioNetChallange/one_beat_out/141628,wfdb
141879.dat,400.0,0,I,0.66,300,C:/Physionet/PhysioNetChallange/one_beat_out/141879,wfdb
142272.dat,400.0,0,I,0.38,300,C:/Physionet/PhysioNetChallange/one_beat_out/142272,wfdb
142487.dat,400.0,0,I,1.0325,300,C:/Physionet/PhysioNetChallange/one_beat_out/142487,wfdb
142738.dat,400.0,0,I,0.375,300,C:/Physionet/PhysioNetChallange/one_beat_out/142738,wfdb
142852.dat,400.0,0,I,0.525,300,C:/Physionet/PhysioNetChallange/one_beat_out/142852,wfdb
143027.dat,400.0,0,I,0.6025,300,C:/Physionet/PhysioNetChallange/one_beat_out/143027,wfdb
143058.dat,400.0,0,I,0.7575,300,C:/Physionet/PhysioNetChallange/one_beat_out/143058,wfdb
144785.dat,400.0,0,I,1.145,300,C:/Physionet/PhysioNetChallange/one_beat_out/144785,wfdb
145323.dat,400.0,0,I,0.8825,300,C:/Physionet/PhysioNetChallange/one_beat_out/145323,wfdb
146494.dat,400.0,0,I,1.16,300,C:/Physionet/PhysioNetChallange/one_beat_out/146494,wfdb
146519.dat,400.0,0,I,0.7675,300,C:/Physionet/PhysioNetChallange/one_beat_out/146519,wfdb
146786.dat,400.0,0,I,0.905,300,C:/Physionet/PhysioNetChallange/one_beat_out/146786,wfdb
146856.dat,400.0,0,I,0.43,300,C:/Physionet/PhysioNetChallange/one_beat_out/146856,wfdb
148487.dat,400.0,0,I,0.3625,300,C:/Physionet/PhysioNetChallange/one_beat_out/148487,wfdb
148623.dat,400.0,0,I,0.3075,300,C:/Physionet/PhysioNetChallange/one_beat_out/148623,wfdb
148892.dat,400.0,0,I,0.3175,300,C:/Physionet/PhysioNetChallange/one_beat_out/148892,wfdb
148942.dat,400.0,0,I,0.7925,300,C:/Physionet/PhysioNetChallange/one_beat_out/148942,wfdb
149079.dat,400.0,0,I,0.6325,300,C:/Physionet/PhysioNetChallange/one_beat_out/149079,wfdb
149836.dat,400.0,0,I,1.105,300,C:/Physionet/PhysioNetChallange/one_beat_out/149836,wfdb
150382.dat,400.0,0,I,0.31,300,C:/Physionet/PhysioNetChallange/one_beat_out/150382,wfdb
150631.dat,400.0,0,I,0.8375,300,C:/Physionet/PhysioNetChallange/one_beat_out/150631,wfdb
150686.dat,400.0,0,I,0.705,300,C:/Physionet/PhysioNetChallange/one_beat_out/150686,wfdb
150698.dat,400.0,0,I,0.505,300,C:/Physionet/PhysioNetChallange/one_beat_out/150698,wfdb
151644.dat,400.0,0,I,1.005,300,C:/Physionet/PhysioNetChallange/one_beat_out/151644,wfdb
152050.dat,400.0,0,I,0.6075,300,C:/Physionet/PhysioNetChallange/one_beat_out/152050,wfdb
152562.dat,400.0,0,I,1.255,300,C:/Physionet/PhysioNetChallange/one_beat_out/152562,wfdb
153126.dat,400.0,0,I,0.6925,300,C:/Physionet/PhysioNetChallange/one_beat_out/153126,wfdb
153781.dat,400.0,0,I,1.0625,300,C:/Physionet/PhysioNetChallange/one_beat_out/153781,wfdb
154510.dat,400.0,0,I,1.1625,300,C:/Physionet/PhysioNetChallange/one_beat_out/154510,wfdb
155625.dat,400.0,0,I,0.605,300,C:/Physionet/PhysioNetChallange/one_beat_out/155625,wfdb
156187.dat,400.0,0,I,0.6625,300,C:/Physionet/PhysioNetChallange/one_beat_out/156187,wfdb
158024.dat,400.0,0,I,0.36,300,C:/Physionet/PhysioNetChallange/one_beat_out/158024,wfdb
158100.dat,400.0,0,I,0.96,300,C:/Physionet/PhysioNetChallange/one_beat_out/158100,wfdb
158419.dat,400.0,0,I,0.8675,300,C:/Physionet/PhysioNetChallange/one_beat_out/158419,wfdb
158847.dat,400.0,0,I,0.6975,300,C:/Physionet/PhysioNetChallange/one_beat_out/158847,wfdb
160764.dat,400.0,0,I,0.77,300,C:/Physionet/PhysioNetChallange/one_beat_out/160764,wfdb
161926.dat,400.0,0,I,0.5875,300,C:/Physionet/PhysioNetChallange/one_beat_out/161926,wfdb
161992.dat,400.0,0,I,1.105,300,C:/Physionet/PhysioNetChallange/one_beat_out/161992,wfdb
162030.dat,400.0,0,I,0.3625,300,C:/Physionet/PhysioNetChallange/one_beat_out/162030,wfdb
163280.dat,400.0,0,I,0.655,300,C:/Physionet/PhysioNetChallange/one_beat_out/163280,wfdb
163460.dat,400.0,0,I,0.935,300,C:/Physionet/PhysioNetChallange/one_beat_out/163460,wfdb
163474.dat,400.0,0,I,0.9,300,C:/Physionet/PhysioNetChallange/one_beat_out/163474,wfdb
163569.dat,400.0,0,I,0.49,300,C:/Physionet/PhysioNetChallange/one_beat_out/163569,wfdb
163723.dat,400.0,0,I,1.1575,300,C:/Physionet/PhysioNetChallange/one_beat_out/163723,wfdb
163731.dat,400.0,0,I,0.89,300,C:/Physionet/PhysioNetChallange/one_beat_out/163731,wfdb
164072.dat,400.0,0,I,0.3825,300,C:/Physionet/PhysioNetChallange/one_beat_out/164072,wfdb
164698.dat,400.0,0,I,1.075,300,C:/Physionet/PhysioNetChallange/one_beat_out/164698,wfdb
164721.dat,400.0,0,I,0.41,300,C:/Physionet/PhysioNetChallange/one_beat_out/164721,wfdb
165169.dat,400.0,0,I,0.49,300,C:/Physionet/PhysioNetChallange/one_beat_out/165169,wfdb
165361.dat,400.0,0,I,1.1925,300,C:/Physionet/PhysioNetChallange/one_beat_out/165361,wfdb
165789.dat,400.0,0,I,1.18,300,C:/Physionet/PhysioNetChallange/one_beat_out/165789,wfdb
165959.dat,400.0,0,I,0.5125,300,C:/Physionet/PhysioNetChallange/one_beat_out/165959,wfdb
166371.dat,400.0,0,I,0.6225,300,C:/Physionet/PhysioNetChallange/one_beat_out/166371,wfdb
166408.dat,400.0,0,I,0.7525,300,C:/Physionet/PhysioNetChallange/one_beat_out/166408,wfdb
166809.dat,400.0,0,I,0.335,300,C:/Physionet/PhysioNetChallange/one_beat_out/166809,wfdb
167173.dat,400.0,0,I,0.375,300,C:/Physionet/PhysioNetChallange/one_beat_out/167173,wfdb
167786.dat,400.0,0,I,0.7825,300,C:/Physionet/PhysioNetChallange/one_beat_out/167786,wfdb
168514.dat,400.0,0,I,1.455,300,C:/Physionet/PhysioNetChallange/one_beat_out/168514,wfdb
169272.dat,400.0,0,I,1.4825,300,C:/Physionet/PhysioNetChallange/one_beat_out/169272,wfdb
169345.dat,400.0,0,I,1.11,300,C:/Physionet/PhysioNetChallange/one_beat_out/169345,wfdb
170373.dat,400.0,0,I,0.9075,300,C:/Physionet/PhysioNetChallange/one_beat_out/170373,wfdb
170822.dat,400.0,0,I,0.805,300,C:/Physionet/PhysioNetChallange/one_beat_out/170822,wfdb
171076.dat,400.0,0,I,0.9,300,C:/Physionet/PhysioNetChallange/one_beat_out/171076,wfdb
171356.dat,400.0,0,I,0.6625,300,C:/Physionet/PhysioNetChallange/one_beat_out/171356,wfdb
171832.dat,400.0,0,I,0.335,300,C:/Physionet/PhysioNetChallange/one_beat_out/171832,wfdb
172108.dat,400.0,0,I,0.8925,300,C:/Physionet/PhysioNetChallange/one_beat_out/172108,wfdb
172488.dat,400.0,0,I,0.445,300,C:/Physionet/PhysioNetChallange/one_beat_out/172488,wfdb
172510.dat,400.0,0,I,0.8275,300,C:/Physionet/PhysioNetChallange/one_beat_out/172510,wfdb
173464.dat,400.0,0,I,1.02,300,C:/Physionet/PhysioNetChallange/one_beat_out/173464,wfdb
174284.dat,400.0,0,I,0.5825,300,C:/Physionet/PhysioNetChallange/one_beat_out/174284,wfdb
174339.dat,400.0,0,I,0.39,300,C:/Physionet/PhysioNetChallange/one_beat_out/174339,wfdb
175050.dat,400.0,0,I,0.8775,300,C:/Physionet/PhysioNetChallange/one_beat_out/175050,wfdb
175081.dat,400.0,0,I,1.095,300,C:/Physionet/PhysioNetChallange/one_beat_out/175081,wfdb
175346.dat,400.0,0,I,1.08,300,C:/Physionet/PhysioNetChallange/one_beat_out/175346,wfdb
175594.dat,400.0,0,I,0.5575,300,C:/Physionet/PhysioNetChallange/one_beat_out/175594,wfdb
175701.dat,400.0,0,I,0.8175,300,C:/Physionet/PhysioNetChallange/one_beat_out/175701,wfdb
176213.dat,400.0,0,I,0.425,300,C:/Physionet/PhysioNetChallange/one_beat_out/176213,wfdb
176323.dat,400.0,0,I,0.8925,300,C:/Physionet/PhysioNetChallange/one_beat_out/176323,wfdb
176762.dat,400.0,0,I,0.49,300,C:/Physionet/PhysioNetChallange/one_beat_out/176762,wfdb
177005.dat,400.0,0,I,0.3575,300,C:/Physionet/PhysioNetChallange/one_beat_out/177005,wfdb
177414.dat,400.0,0,I,0.6025,300,C:/Physionet/PhysioNetChallange/one_beat_out/177414,wfdb
177424.dat,400.0,0,I,1.3025,300,C:/Physionet/PhysioNetChallange/one_beat_out/177424,wfdb
177913.dat,400.0,0,I,1.1125,300,C:/Physionet/PhysioNetChallange/one_beat_out/177913,wfdb
178759.dat,400.0,0,I,0.57,300,C:/Physionet/PhysioNetChallange/one_beat_out/178759,wfdb
178816.dat,400.0,0,I,0.5775,300,C:/Physionet/PhysioNetChallange/one_beat_out/178816,wfdb
179724.dat,400.0,0,I,0.44,300,C:/Physionet/PhysioNetChallange/one_beat_out/179724,wfdb
181585.dat,400.0,0,I,0.3175,300,C:/Physionet/PhysioNetChallange/one_beat_out/181585,wfdb
181629.dat,400.0,0,I,0.9975,300,C:/Physionet/PhysioNetChallange/one_beat_out/181629,wfdb
181736.dat,400.0,0,I,0.4575,300,C:/Physionet/PhysioNetChallange/one_beat_out/181736,wfdb
181780.dat,400.0,0,I,0.5175,300,C:/Physionet/PhysioNetChallange/one_beat_out/181780,wfdb
181819.dat,400.0,0,I,0.5525,300,C:/Physionet/PhysioNetChallange/one_beat_out/181819,wfdb
181864.dat,400.0,0,I,0.875,300,C:/Physionet/PhysioNetChallange/one_beat_out/181864,wfdb
181912.dat,400.0,0,I,0.4575,300,C:/Physionet/PhysioNetChallange/one_beat_out/181912,wfdb
181936.dat,400.0,0,I,0.56,300,C:/Physionet/PhysioNetChallange/one_beat_out/181936,wfdb
181992.dat,400.0,0,I,0.7275,300,C:/Physionet/PhysioNetChallange/one_beat_out/181992,wfdb
182574.dat,400.0,0,I,0.9975,300,C:/Physionet/PhysioNetChallange/one_beat_out/182574,wfdb
182811.dat,400.0,0,I,0.9775,300,C:/Physionet/PhysioNetChallange/one_beat_out/182811,wfdb
183209.dat,400.0,0,I,0.4975,300,C:/Physionet/PhysioNetChallange/one_beat_out/183209,wfdb
183278.dat,400.0,0,I,0.3975,300,C:/Physionet/PhysioNetChallange/one_beat_out/183278,wfdb
184107.dat,400.0,0,I,0.8025,300,C:/Physionet/PhysioNetChallange/one_beat_out/184107,wfdb
184185.dat,400.0,0,I,1.235,300,C:/Physionet/PhysioNetChallange/one_beat_out/184185,wfdb
184555.dat,400.0,0,I,0.7675,300,C:/Physionet/PhysioNetChallange/one_beat_out/184555,wfdb
184801.dat,400.0,0,I,1.0475,300,C:/Physionet/PhysioNetChallange/one_beat_out/184801,wfdb
18511.dat,400.0,0,I,0.59,300,C:/Physionet/PhysioNetChallange/one_beat_out/18511,wfdb
185588.dat,400.0,0,I,0.7275,300,C:/Physionet/PhysioNetChallange/one_beat_out/185588,wfdb
186136.dat,400.0,0,I,0.7475,300,C:/Physionet/PhysioNetChallange/one_beat_out/186136,wfdb
186505.dat,400.0,0,I,0.6975,300,C:/Physionet/PhysioNetChallange/one_beat_out/186505,wfdb
187084.dat,400.0,0,I,0.655,300,C:/Physionet/PhysioNetChallange/one_beat_out/187084,wfdb
188891.dat,400.0,0,I,0.7775,300,C:/Physionet/PhysioNetChallange/one_beat_out/188891,wfdb
189239.dat,400.0,0,I,0.5925,300,C:/Physionet/PhysioNetChallange/one_beat_out/189239,wfdb
190165.dat,400.0,0,I,0.67,300,C:/Physionet/PhysioNetChallange/one_beat_out/190165,wfdb
190485.dat,400.0,0,I,0.335,300,C:/Physionet/PhysioNetChallange/one_beat_out/190485,wfdb
190490.dat,400.0,0,I,0.555,300,C:/Physionet/PhysioNetChallange/one_beat_out/190490,wfdb
190670.dat,400.0,0,I,0.7075,300,C:/Physionet/PhysioNetChallange/one_beat_out/190670,wfdb
191088.dat,400.0,0,I,0.9175,300,C:/Physionet/PhysioNetChallange/one_beat_out/191088,wfdb
192549.dat,400.0,0,I,0.66,300,C:/Physionet/PhysioNetChallange/one_beat_out/192549,wfdb
193005.dat,400.0,0,I,0.57,300,C:/Physionet/PhysioNetChallange/one_beat_out/193005,wfdb
195121.dat,400.0,0,I,1.065,300,C:/Physionet/PhysioNetChallange/one_beat_out/195121,wfdb
195193.dat,400.0,0,I,0.305,300,C:/Physionet/PhysioNetChallange/one_beat_out/195193,wfdb
196660.dat,400.0,0,I,0.385,300,C:/Physionet/PhysioNetChallange/one_beat_out/196660,wfdb
196843.dat,400.0,0,I,1.1575,300,C:/Physionet/PhysioNetChallange/one_beat_out/196843,wfdb
197098.dat,400.0,0,I,0.815,300,C:/Physionet/PhysioNetChallange/one_beat_out/197098,wfdb
197455.dat,400.0,0,I,1.0,300,C:/Physionet/PhysioNetChallange/one_beat_out/197455,wfdb
197531.dat,400.0,0,I,0.47,300,C:/Physionet/PhysioNetChallange/one_beat_out/197531,wfdb
197560.dat,400.0,0,I,1.155,300,C:/Physionet/PhysioNetChallange/one_beat_out/197560,wfdb
197590.dat,400.0,0,I,0.43,300,C:/Physionet/PhysioNetChallange/one_beat_out/197590,wfdb
197641.dat,400.0,0,I,0.6375,300,C:/Physionet/PhysioNetChallange/one_beat_out/197641,wfdb
197647.dat,400.0,0,I,0.435,300,C:/Physionet/PhysioNetChallange/one_beat_out/197647,wfdb
197947.dat,400.0,0,I,0.4475,300,C:/Physionet/PhysioNetChallange/one_beat_out/197947,wfdb
199009.dat,400.0,0,I,0.6175,300,C:/Physionet/PhysioNetChallange/one_beat_out/199009,wfdb
199873.dat,400.0,0,I,1.19,300,C:/Physionet/PhysioNetChallange/one_beat_out/199873,wfdb
20122.dat,400.0,0,I,1.01,300,C:/Physionet/PhysioNetChallange/one_beat_out/20122,wfdb
20129.dat,400.0,0,I,0.315,300,C:/Physionet/PhysioNetChallange/one_beat_out/20129,wfdb
201711.dat,400.0,0,I,0.8425,300,C:/Physionet/PhysioNetChallange/one_beat_out/201711,wfdb
202121.dat,400.0,0,I,0.7325,300,C:/Physionet/PhysioNetChallange/one_beat_out/202121,wfdb
202149.dat,400.0,0,I,0.7125,300,C:/Physionet/PhysioNetChallange/one_beat_out/202149,wfdb
204537.dat,400.0,0,I,0.95,300,C:/Physionet/PhysioNetChallange/one_beat_out/204537,wfdb
204539.dat,400.0,0,I,0.4825,300,C:/Physionet/PhysioNetChallange/one_beat_out/204539,wfdb
204540.dat,400.0,0,I,0.48,300,C:/Physionet/PhysioNetChallange/one_beat_out/204540,wfdb
204542.dat,400.0,0,I,0.76,300,C:/Physionet/PhysioNetChallange/one_beat_out/204542,wfdb
204546.dat,400.0,0,I,0.8175,300,C:/Physionet/PhysioNetChallange/one_beat_out/204546,wfdb
204666.dat,400.0,0,I,0.5025,300,C:/Physionet/PhysioNetChallange/one_beat_out/204666,wfdb
204680.dat,400.0,0,I,0.85,300,C:/Physionet/PhysioNetChallange/one_beat_out/204680,wfdb
204871.dat,400.0,0,I,0.9225,300,C:/Physionet/PhysioNetChallange/one_beat_out/204871,wfdb
205481.dat,400.0,0,I,1.0125,300,C:/Physionet/PhysioNetChallange/one_beat_out/205481,wfdb
205674.dat,400.0,0,I,0.7025,300,C:/Physionet/PhysioNetChallange/one_beat_out/205674,wfdb
205960.dat,400.0,0,I,0.8925,300,C:/Physionet/PhysioNetChallange/one_beat_out/205960,wfdb
206531.dat,400.0,0,I,0.925,300,C:/Physionet/PhysioNetChallange/one_beat_out/206531,wfdb
206679.dat,400.0,0,I,0.47,300,C:/Physionet/PhysioNetChallange/one_beat_out/206679,wfdb
206723.dat,400.0,0,I,1.9625,300,C:/Physionet/PhysioNetChallange/one_beat_out/206723,wfdb
206951.dat,400.0,0,I,0.52,300,C:/Physionet/PhysioNetChallange/one_beat_out/206951,wfdb
207177.dat,400.0,0,I,0.725,300,C:/Physionet/PhysioNetChallange/one_beat_out/207177,wfdb
207467.dat,400.0,0,I,0.88,300,C:/Physionet/PhysioNetChallange/one_beat_out/207467,wfdb
20947.dat,400.0,0,I,0.31,300,C:/Physionet/PhysioNetChallange/one_beat_out/20947,wfdb
210883.dat,400.0,0,I,0.94,300,C:/Physionet/PhysioNetChallange/one_beat_out/210883,wfdb
211017.dat,400.0,0,I,1.05,300,C:/Physionet/PhysioNetChallange/one_beat_out/211017,wfdb
212279.dat,400.0,0,I,0.33,300,C:/Physionet/PhysioNetChallange/one_beat_out/212279,wfdb
212645.dat,400.0,0,I,1.2875,300,C:/Physionet/PhysioNetChallange/one_beat_out/212645,wfdb
214270.dat,400.0,0,I,0.3775,300,C:/Physionet/PhysioNetChallange/one_beat_out/214270,wfdb
214293.dat,400.0,0,I,0.805,300,C:/Physionet/PhysioNetChallange/one_beat_out/214293,wfdb
214334.dat,400.0,0,I,0.79,300,C:/Physionet/PhysioNetChallange/one_beat_out/214334,wfdb
214339.dat,400.0,0,I,0.9125,300,C:/Physionet/PhysioNetChallange/one_beat_out/214339,wfdb
214348.dat,400.0,0,I,0.7375,300,C:/Physionet/PhysioNetChallange/one_beat_out/214348,wfdb
214951.dat,400.0,0,I,0.3275,300,C:/Physionet/PhysioNetChallange/one_beat_out/214951,wfdb
215304.dat,400.0,0,I,0.395,300,C:/Physionet/PhysioNetChallange/one_beat_out/215304,wfdb
215976.dat,400.0,0,I,0.86,300,C:/Physionet/PhysioNetChallange/one_beat_out/215976,wfdb
215978.dat,400.0,0,I,0.47,300,C:/Physionet/PhysioNetChallange/one_beat_out/215978,wfdb
215980.dat,400.0,0,I,0.465,300,C:/Physionet/PhysioNetChallange/one_beat_out/215980,wfdb
215982.dat,400.0,0,I,1.07,300,C:/Physionet/PhysioNetChallange/one_beat_out/215982,wfdb
215985.dat,400.0,0,I,1.1075,300,C:/Physionet/PhysioNetChallange/one_beat_out/215985,wfdb
215986.dat,400.0,0,I,1.1675,300,C:/Physionet/PhysioNetChallange/one_beat_out/215986,wfdb
215992.dat,400.0,0,I,0.515,300,C:/Physionet/PhysioNetChallange/one_beat_out/215992,wfdb
215993.dat,400.0,0,I,0.5375,300,C:/Physionet/PhysioNetChallange/one_beat_out/215993,wfdb
215994.dat,400.0,0,I,0.715,300,C:/Physionet/PhysioNetChallange/one_beat_out/215994,wfdb
216649.dat,400.0,0,I,0.775,300,C:/Physionet/PhysioNetChallange/one_beat_out/216649,wfdb
217288.dat,400.0,0,I,0.875,300,C:/Physionet/PhysioNetChallange/one_beat_out/217288,wfdb
217440.dat,400.0,0,I,0.685,300,C:/Physionet/PhysioNetChallange/one_beat_out/217440,wfdb
217445.dat,400.0,0,I,0.5875,300,C:/Physionet/PhysioNetChallange/one_beat_out/217445,wfdb
217447.dat,400.0,0,I,1.015,300,C:/Physionet/PhysioNetChallange/one_beat_out/217447,wfdb
217448.dat,400.0,0,I,0.6725,300,C:/Physionet/PhysioNetChallange/one_beat_out/217448,wfdb
217864.dat,400.0,0,I,1.15,300,C:/Physionet/PhysioNetChallange/one_beat_out/217864,wfdb
217881.dat,400.0,0,I,1.3375,300,C:/Physionet/PhysioNetChallange/one_beat_out/217881,wfdb
217884.dat,400.0,0,I,0.39,300,C:/Physionet/PhysioNetChallange/one_beat_out/217884,wfdb
218041.dat,400.0,0,I,0.9,300,C:/Physionet/PhysioNetChallange/one_beat_out/218041,wfdb
218093.dat,400.0,0,I,0.74,300,C:/Physionet/PhysioNetChallange/one_beat_out/218093,wfdb
218139.dat,400.0,0,I,0.37,300,C:/Physionet/PhysioNetChallange/one_beat_out/218139,wfdb
218217.dat,400.0,0,I,0.565,300,C:/Physionet/PhysioNetChallange/one_beat_out/218217,wfdb
218263.dat,400.0,0,I,0.615,300,C:/Physionet/PhysioNetChallange/one_beat_out/218263,wfdb
218288.dat,400.0,0,I,0.5875,300,C:/Physionet/PhysioNetChallange/one_beat_out/218288,wfdb
21863.dat,400.0,0,I,0.9875,300,C:/Physionet/PhysioNetChallange/one_beat_out/21863,wfdb
